"CNumber","Inhibitor","Brutto","MW","Action","Reference","Reference 2","PMID2","Patent","Commercial Vendor","CAS","InChI","InChI Key","PubChem CID","SMILES","Alt Name"
"327","Celastrol","C29H38O4","450.6","hsp90, ampk","Kim JH. Cell Signal. (2013) 805-13","","","WO2007117466","Cayman Chemical","34157-83-0","InChI=1S/C29H38O4/c1-17-18-7-8-21-27(4,19(18)15-20(30)23(17)31)12-14-29(6)22-16-26(3,24(32)33)10-9-25(22,2)11-13-28(21,29)5/h7-8,15,22,31H,9-14,16H2,1-6H3,(H,32,33)/t22-,25-,26?,27+,28-,29+/m1/s1","KQJSQWZMSAGSHN-KUDKLYNCSA-N","92310323","O=C1C=C2C(=CC=C3[C@@]2(C)CCC2(C)[C@@H]4C[C@@](C)(CC[C@]4(C)CC[C@]32C)C(=O)O)C(=C1O)C","Tripterine       , Tripterin, Celastrus scandens"
"28","CGP-57380","C11H9FN6","244.23","MNK","Knauf U. (2001) Mol. Cell. Biol. 21 5500-5511","Proud C.G. (2005) Immunity 23 177-189","16111636","WO2010055072","Tocris","522629-08-9","InChI=1S/C11H9FN6/c12-6-1-3-7(4-2-6)16-11-8-9(13)14-5-15-10(8)17-18-11/h1-5H,(H4,13,14,15,16,17,18)","UQPMANVRZYYQMD-UHFFFAOYSA-N","11644425","C1=CC(=CC=C1NC2=C3C(=NC=NC3=NN2)N)F","SHN-005, CGP 57380, CHEBI:800097, SureCN987991, MNK1 Inhibitor, CHEMBL1240885, CGP57380"
"29","CGP-57380 analog (SHN-093)","C12H11FN6","258.25","MNK         ","Proud C.G. (2005) Immunity 23 177-189","","","","","","InChI=1S/C12H11FN6/c1-19-12-9(10(14)15-6-16-12)11(18-19)17-8-4-2-7(13)3-5-8/h2-6H,1H3,(H,17,18)(H2,14,15,16)","SIHUJKCSGBNJEM-UHFFFAOYSA-N","","Cn1c2c(c(ncn2)N)c(n1)Nc3ccc(cc3)F","SHN-093, CGP57380, CGP 57380"
"30","CGP-57380 analog (SHN-095)","C13H14N6","254.29","MNK                          ","","","","","","","InChI=1S/C13H14N6/c1-8-4-3-5-9(6-8)17-12-10-11(14)15-7-16-13(10)19(2)18-12/h3-7H,1-2H3,(H,17,18)(H2,14,15,16)","QLLSZPWRBXJUTI-UHFFFAOYSA-N","","Cc1cccc(c1)Nc2c3c(ncnc3n(n2)C)N","SHN-095, CGP 57380, CGP57380"
"31","Chelerythrine Chloride","C21H18NO4Cl","383.8","PKC","Kandasamy R.A.  (1995) J. Biol. Chem. 270 29209","Jarvis W.D. (1994) Cancer Res. 54 1707","7511048","WO2003077917","Merck (Calbiochem)","3895-92-9","InChI=1S/C21H18NO4.ClH/c1-22-10-16-13(6-7-17(23-2)21(16)24-3)14-5-4-12-8-18-19(26-11-25-18)9-15(12)20(14)22;/h4-10H,11H2,1-3H3;1H/q+1;/p-1","WEEFNMFMNMASJY-UHFFFAOYSA-M","72311","C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5.[Cl-]","Chelerythrine hydrochloride, NSC 36405, C21H18NO4"
"33","CHIR 99021 (CT 99021)","C22H18Cl2N8","465.34","GSK3","Ring D.B. (2003) Diabetes 52 588","","","WO1999065897","Axon","252917-06-9","InChI=1S/C22H18Cl2N8/c1-13-10-29-21(31-13)17-12-30-22(32-20(17)16-4-3-15(23)8-18(16)24)27-7-6-26-19-5-2-14(9-25)11-28-19/h2-5,8,10-12H,6-7H2,1H3,(H,26,28)(H,29,31)(H,27,30,32)","AQGNHMOJWBZFQQ-UHFFFAOYSA-N","9956119","CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N","SHN-188   , CHIR-99021, Kinome_3785, CT 99021, S1263_Selleck, CHIR99021"
"301","Chloroquine","C18H26ClN3","319.87214","Anti Malarial","","","","","","54-05-7","InChI=1S/C18H26ClN3/c1-4-22(5-2)12-6-7-14(3)21-17-10-11-20-18-13-15(19)8-9-16(17)18/h8-11,13-14H,4-7,12H2,1-3H3,(H,20,21)","WHTVZRBIWZFKQO-UHFFFAOYSA-N","2719","CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl","Aralen, Artrichin"
"34","CKI-7","C11H12ClN3O2S • 2HCl","358.67","CK1","Rena G. (2004) EMBO Rep. 5 60-65","","","WO2002102768","Sigma","1177141- 67-1","InChI=1S/C11H12ClN3O2S/c12-10-1-2-11(18(16,17)15-6-4-13)9-7-14-5-3-8(9)10/h1-3,5,7,15H,4,6,13H2","OGKYMFFYOWUTKV-UHFFFAOYSA-N","129236","C1=CC(=C2C=CN=CC2=C1S(=O)(=O)NCCN)Cl","CKI 7 , CHEBI:47322, CKI7, CKI, 2csn"
"35","Compound C (Dorsomorphin)","C24H25N5O","399.5","AMPK","Yu P.B.  (2008) Nat. Chem. Biol. 4 33","Kim E.K. (2004) J. Biol. Chem. 279 19970","15028725","WO2008033408A2","Merck (Calbiochem)","1219168-18-9","InChI=1S/C24H25N5O/c1-2-12-28(13-3-1)14-15-30-22-6-4-19(5-7-22)21-16-26-24-23(17-27-29(24)18-21)20-8-10-25-11-9-20/h4-11,16-18H,1-3,12-15H2","XHBVYDAKJHETMP-UHFFFAOYSA-N","11524144","C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3","AMPK Inhibitor, Compound C, BML-275"
"166","Cot-Tpl2 Inhibitor Compound 10b (Abbott)","C20H15N3OS","345.42","Cot-Tpl2","Cusack K. (2009) Bioorganic and MedicinalChemistry Letters 19 1722-1725","","","","","","","","","","SHN-1146, SHN1146, SHN 1146"
"138","Cot-Tpl2 Inhibitor Compound 38 (Abbott)","C21H12F3N5OS","439.41","Cot-Tpl2","George D. Friedman M. (2008) Bioorganic and Medicinal Chemistry Letters  18 4952-4955","","","","","","","","","","SHN-924B, Cot Tpl2, CotTpl2"
"135","Cot-Tpl2 Inhibitor Compound 41 (Abbott)","C21H14N6O2S","414.44","Cot-Tpl2","George D. Friedman M. (2008) Bioorganic and Medicinal Chemistry Letters  18 4952-4955","","","","","","InChI=1S/C21H14N6O2S/c22-20(28)14-3-1-12(2-4-14)13-5-7-15(8-6-13)29-17-10-23-11-19-16(17)9-18(30-19)21-24-26-27-25-21/h1-11H,(H2,22,28)(H,24,25,26,27)","NCPSMBVBKJXJPP-UHFFFAOYSA-NCopy","","C1=CC(=CC=C1C2=CC=C(C=C2)OC3=CN=CC4=C3C=C(S4)C5=NNN=N5)C(=O)N","SHN-908, Cot Tpl2, CotTpl2"
"204","CP-690550 (Tasocitinib)","C16H20N6O","312.38","JAK","Manshouri T. (2008) Cancer Sci. 99(6) 1265-73","","","","Selleck","477600-75-2","InChI=1S/C16H20N6O/c1-11-5-8-22(14(23)3-6-17)9-13(11)21(2)16-12-4-7-18-15(12)19-10-20-16/h4,7,10-11,13H,3,5,8-9H2,1-2H3,(H,18,19,20)/t11-,13+/m1/s1","UJLAWZDWDVHWOW-YPMHNXCESA-N","9926791","CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N","CP690550, CP 690550, Tofacitinib, oxopropanenitrile"
"341","Crenolanib","C26H29N5O2","443.5","FLT3","Smith CC (2014 )Proc Natl Acad Sci U S A Apr 8 111(14) 5319-24","","","","","670220-88-9","InChI=1S/C26H29N5O2/c1-26(14-32-15-26)16-33-20-6-7-22-21(13-20)28-17-31(22)24-8-5-18-3-2-4-23(25(18)29-24)30-11-9-19(27)10-12-30/h2-8,13,17,19H,9-12,14-16,27H2,1H3","DYNHJHQFHQTFTP-UHFFFAOYSA-N","10366136","CC1(COC1)COC2=CC3=C(C=C2)N(C=N3)C4=NC5=C(C=CC=C5N6CCC(CC6)N)C=C4",""
"41","Curcumin","C21H20O6","368.4","Inhibits EGF receptor","Cui L.  (2007) Antimicrob. Agents Chemother. 51 488","Salvioli S. (2007) eCAM 4 181","17549234","WO2000070949","Merck (Calbiochem)","458-37-7","InChI=1S/C21H20O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h3-12,24-25H,13H2,1-2H3/b7-3+,8-4+","VFLDPWHFBUODDF-FCXRPNKRSA-N","969516","COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O","Diferuloylmethane      , Natural yellow 3, Turmeric yellow       , Curcuma, Gelbwurz, Souchet"
"222","CZC-25146","C22H25FN6O4S","488.54","LRRK2","Ramsden N. (2011) ASC Chemical Biology ","","","","","","InChI=1S/C23H28N6O4S/c1-16-15-24-23(27-22(16)25-18-6-4-5-7-19(18)28-34(3,30)31)26-20-9-8-17(14-21(20)32-2)29-10-12-33-13-11-29/h4-9,14-15,28H,10-13H2,1-3H3,(H2,24,25,26,27)","LPNYSGPEOBYEDW-UHFFFAOYSA-N","","Cc1cnc(nc1Nc2ccccc2NS(=O)(=O)C)Nc3ccc(cc3OC)N4CCOCC4","SHN-1537, SHN1537, SHN 1537, CZC25146, CZC 25146"
"42","D 4476","C23H18N4O3","398.41","CK1","Liverton N.J. (1999) J. Med. Chem 42 2180-2190","","","WO2008066626","Merck (Calbiochem)","301836-43-1","InChI=1S/C23H18N4O3/c24-22(28)14-4-6-15(7-5-14)23-26-20(21(27-23)17-3-1-2-10-25-17)16-8-9-18-19(13-16)30-12-11-29-18/h1-10,13H,11-12H2,(H2,24,28)(H,26,27)","DPDZHVCKYBCJHW-UHFFFAOYSA-N","6419753","C1COC2=C(O1)C=CC(=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5","SHN-151, CK1 Inhibitor, D-4476, AC1O4WCQ, SureCN373737, D4476"
"328","Dasatinib","C22H26ClN7O2S","487","BCR-ABL, Src","Kantarjian H. N Engl J Med. (2010) 2260-70","","","WO2009094556","Cayman Chemical","302962-49-8","InChI=1S/C22H26ClN7O2S/c1-14-4-3-5-16(23)20(14)28-21(32)17-13-24-22(33-17)27-18-12-19(26-15(2)25-18)30-8-6-29(7-9-30)10-11-31/h3-5,12-13,31H,6-11H2,1-2H3,(H,28,32)(H,24,25,26,27) ","ZBNZXTGUTAYRHI-UHFFFAOYSA-N","3062316","CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCOCopy","Sprycel"
"283","Dimethyl fumarate","C6H8O4","144.13","","Peng H. (2112) J Biol Chem. 287(33) 28017-26","Gesser B. (2007) Journal of Investigative Dermatology 27(9) 2129-37","","","Sigma","624-49-7","InChI=1S/C6H8O4/c1-9-5(7)3-4-6(8)10-2/h3-4H,1-2H3/b4-3+","LDCRTTXIJACKKU-ONEGZZNKSA-N","637568","COC(=O)C=CC(=O)OC",""
"374","dTAG-13","C57H68N4O15","1049.18","degrader for FKBP12/f36v","","","","","The dTAG system for immediate and target-specific protein degradation.","","","","","","SHN-2830"
"43","EGCG (Epigallocatechin Gallate)","C22H18O11","458.4","PKC","Dell'Aica I. (2004) EMBO Rep. 5 418-422","Tachibana H. (2004) Nat. Struct. Mol. Biol. 11 380","15024383","WO2001051048","Merck (Calbiochem)","989-51-5","InChI=1S/C22H18O11/c23-10-5-12(24)11-7-18(33-22(31)9-3-15(27)20(30)16(28)4-9)21(32-17(11)6-10)8-1-13(25)19(29)14(26)2-8/h1-6,18,21,23-30H,7H2/t18-,21-/m1/s1","WMBWREPUVVBILR-WIYYLYMNSA-N","65064","C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)","Epigallocatechin gallate       , Tea catechin, Teavigo, Catechin deriv"
"350","EMD638683","C18H18F2N","364.34","SGK1","Miyayama T (2014) Environ Toxicol Pharmacol 38(2) 374-8","","","US2011060050","","1181770-72-8","InChI=1S/C18H18F2N2O4/c1-3-13-9(2)15(23)5-4-14(13)17(25)21-22-18(26)16(24)10-6-11(19)8-12(20)7-10/h4-8,16,23-24H,3H2,1-2H3,(H,21,25)(H,22,26)","SSNAPUUWBPZGOY-UHFFFAOYSA-N","44182398","CCC1=C(C=CC(=C1C)O)C(=O)NNC(=O)C(C2=CC(=CC(=C2)F)F)O","MSC2020151A, EMD-638683"
"143","ER-27319","C20H22N2O5","370.40","SYK","Moriya K.  (1997) Proc. Natl. Acad. Sci. USA 94  12539-12544","","","","Tocris","201010-95-9","InChI=1S/C18H20N2O.C2H2O4/c1-12-8-9-15-17(13(12)2)20(11-5-10-19)16-7-4-3-6-14(16)18(15)21;3-1(4)2(5)6/h3-4,6-9H,5,10-11,19H2,1-2H3;(H,3,4)(H,5,6)","IIELZHYJYZBSGG-UHFFFAOYSA-N","9799508","CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3N2CCCN)C.C(=O)(C(=O)O)O","ER27319, ER 27319, SureCN503354"
"220","ETP 46464","C30H22N4O2","470.52","ATRi","Toledo L.I. (2011) Nature structural and molecular biology 18 721-727","","","","","","InChI=1S/C30H22N4O2/c1-30(2,18-31)23-8-10-24(11-9-23)34-28-22(17-36-29(34)35)16-33-27-12-7-19(14-25(27)28)21-13-20-5-3-4-6-26(20)32-15-21/h3-16H,17H2,1-2H3","DPLMXAYKJZOTKO-UHFFFAOYSA-N","","CC(C)(C#N)c1ccc(cc1)N2c3c4cc(ccc4ncc3COC2=O)c5cc6ccccc6nc5","SHN-1468, SHN1468, SHN 1468, ETP46464, ETP-46464"
"200","Febuxostat (TMX-67, Adenuric, Uloric)","C16H16N2O3S","316.37","Xanthine oxidase (XO)","Gaffo AL. (2010 ) Core Evid. 4 25-36","Grabowski B (2010) Br J Clin Pharmacol.  70 57-64","20642548","","Selleck","144060-53-7","InChI=1S/C16H16N2O3S/c1-9(2)8-21-13-5-4-11(6-12(13)7-17)15-18-10(3)14(22-15)16(19)20/h4-6,9H,8H2,1-3H3,(H,19,20)","BQSJTQLCZDPROO-UHFFFAOYSA-N","134018","CC1=C(SC(=N1)C2=CC(=C(C=C2)OCC(C)C)C#N)C(=O)O","SHN-1348, Uloric       , SHN1348, SHN 1348, Adenuric"
"44","FMK (Caspase Inhibitor I)","C22H30FN3O7","467.5","Caspase","Martin U. (2007) Apoptosis 12 525","Misaghi S. (2004) Chem. Biol. 11 1677","","WO2001058526","Merck (Calbiochem)","187389-52-2","InChI=1S/C22H30FN3O7/c1-13(2)19(26-22(31)33-12-15-8-6-5-7-9-15)21(30)24-14(3)20(29)25-16(17(27)11-23)10-18(28)32-4/h5-9,13-14,16,19H,10-12H2,1-4H3,(H,24,30)(H,25,29)(H,26,31)","MIFGOLAMNLSLGH-UHFFFAOYSA-N","5737","CC(C)C(C(=O)NC(C)C(=O)NC(CC(=O)OC)C(=O)CF)NC(=O)OCC1=CC=CC=C1","FK009, AC1L1L0Z"
"314","Fostamatinib","C23H26FN6O9P","580.46","","","","","","Seleck","","InChI=1S/C23H26FN6O9P/c1-23(2)21(31)30(11-38-40(32,33)34)20-14(39-23)6-7-17(28-20)27-19-13(24)10-25-22(29-19)26-12-8-15(35-3)18(37-5)16(9-12)36-4/h6-10H,11H2,1-5H3,(H2,32,33,34)(H2,25,26,27,28,29)","GKDRMWXFWHEQQT-UHFFFAOYSA-N","11671467","CC1(C(=O)N(c2c(ccc(n2)Nc3c(cnc(n3)Nc4cc(c(c(c4)OC)OC)OC)F)O1)COP(=O)(O)O)C","R788"
"45","GDC-0941","C23H29N7O3S2Cl2","586.57","PI3K","Folkes AJ. (2008) J Med Chem. 5522-32","","","WO2007129161","Axon","957054-30-7","InChI=1S/C23H27N7O3S2/c1-35(31,32)30-7-5-28(6-8-30)15-16-13-20-21(34-16)23(29-9-11-33-12-10-29)26-22(25-20)17-3-2-4-19-18(17)14-24-27-19/h2-4,13-14H,5-12,15H2,1H3,(H,24,27)","LHNIIDJUOCFXAP-UHFFFAOYSA-N","17755052","CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6","SHN-823, Pictrelisib, GDC0941, GDC 0941, Kinome_3719, CHEBI:65326"
"290","Genentech LRRK2 inhibitor compound 18 (GNE-7915)","C19H21F4N5O3","443.40","LRRK2","Estrada AA (2012) J Med Chem 55(22) 9416-33","","","","","","","","","","HG-12-92-01"
"291","Genentech LRRK2 inhibitor compound 19","C20H21F4N5O3","455.41","LRRK2","Estrada AA (2012) J Med Chem 55(22) 9416-33","","","","","","","","","","HG-12-95-01 "
"46","Genistein","C15H10O5","270.2","Tyrosine-kinases","Constantinou A. and Huberman E. (1995) Proc. Soc. Exp. Biol. Med. 208 109","Wei H. (1995) Proc. Soc. Exp. Biol. Med. 208 124","7892286","WO1999045920","Merck (Calbiochem)","446-72-0","InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H","TZBJGXHYKVUXJN-UHFFFAOYSA-N","5280961","C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O","Prunetol, Genisteol, Genisterin, Sophoricol, Genestein       , Differenol A"
"47","GF 109203X (Go 6850)","C25H24N4O2","412.5","PKC","Hers I. (1999) FEBS Lett. 460 433","Ku W.-C. (1997) Biochem. Biophys. Res. Commun. 241 730","9434777","US7067144","Merck (Calbiochem)","133052-90-1","InChI=1S/C25H24N4O2/c1-28(2)12-7-13-29-15-19(17-9-4-6-11-21(17)29)23-22(24(30)27-25(23)31)18-14-26-20-10-5-3-8-16(18)20/h3-6,8-11,14-15,26H,7,12-13H2,1-2H3,(H,27,30,31)","QMGUOJYZJKLOLH-UHFFFAOYSA-N","2396","CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54","GF-109203X, GF109203X, Go 6850       , bisindolylmaleimide       "
"48","Gleevec (Imatinib)","C29H31N7O","493.6","BCR-ABL","Druker B. J. (2000) J. Clin. Invest. 105 3-7","","","WO2006039533","Tocris","152459-95-5","InChI=1S/C29H31N7O/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34)","KTUFNOKKBVMGRW-UHFFFAOYSA-N","5291","CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5","Imatinib Methansulfonate, sti-571       , Cgp 57148       , Imatinib free base"
"49","Gö 6976","C24H18N4O","378.4","PKC","Gschwendt M.  (1996) FEBS Lett. 392 77","Wenzel-Seifert K. (1994) Biochem. Biophys. Res. Commun. 200 1536","8185608","WO2003009809","Merck (Calbiochem)","136194-77-9","InChI=1S/C24H18N4O/c1-27-17-9-4-2-7-14(17)20-21-16(13-26-24(21)29)19-15-8-3-5-10-18(15)28(12-6-11-25)23(19)22(20)27/h2-5,7-10H,6,12-13H2,1H3,(H,26,29)","VWVYILCFSYNJHF-UHFFFAOYSA-N","3501","CN1C2=CC=CC=C2C3=C4C(=C5C6=CC=CC=C6N(C5=C31)CCC#N)CNC4=O","GO6976       , CHEBI:51913, Go 6976 , Go-6976 "
"50","Gö 7874","C27H26N4O4 • HCl","507","PKC","Kleinschroth J.  (1995) Bioorg. Med. Chem. Lett. 5 55","","","US20080153903","Merck (Calbiochem)","287935-76-6","InChI=1S/C27H26N4O4/c1-29(2)12-14(32)13-31-19-8-6-5-7-16(19)20-22-23(27(34)28-26(22)33)21-17-11-15(35-4)9-10-18(17)30(3)24(21)25(20)31/h5-11,14,32H,12-13H2,1-4H3,(H,28,33,34)","XIKQYZCJVULUHD-UHFFFAOYSA-N","5327863","CN1C2=C(C=C(C=C2)OC)C3=C4C(=C5C6=CC=CC=C6N(C5=C31)CC(CN(C)C)O)C(=O)NC4=O","SureCN8114513, go 7874, go-7874, Gö-7874"
"158","GSK2334470","C25H34N8O","462.59","PDK1","Najafov A. (2011) Biochem. J. 433 357-69","","","","Tocris","1227911-45-6","InChI=1S/C25H34N8O/c1-15-8-9-17(24(34)28-18-6-4-3-5-7-18)14-33(15)22-13-20(29-25(27-2)30-22)16-10-11-19-21(12-16)31-32-23(19)26/h10-13,15,17-18H,3-9,14H2,1-2H3,(H,28,34)(H3,26,31,32)(H,27,29,30)/t15-,17+/m1/s1","QLPHOXTXAKOFMU-WBVHZDCISA-N","46215815","CC1CCC(CN1C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)NC)C(=O)NC5CCCCC5","GSK2334470A, GSK 2334470, GSK-2334470"
"260","GSK2578215A","C24H18FN3O2","399.42","LRRK2","Reith A. (2012) Bioorg. Med. Chem. Lett.","","","WO2011038572","","","","","","","SHN-1725, GSK-2578215A, GSK 2578215A"
"317","GSK2606414","C24H20F3N5O","451.44","PERK","Axten JM. (2012) J. Med. Chem. 23 55(16) 7193-207","","","","Merck Millipore","","InChI=1S/C24H20F3N5O/c1-31-12-18(21-22(28)29-13-30-23(21)31)15-5-6-19-16(11-15)7-8-32(19)20(33)10-14-3-2-4-17(9-14)24(25,26)27/h2-6,9,11-13H,7-8,10H2,1H3,(H2,28,29,30)","SIXVRXARNAVBTC-UHFFFAOYSA-N","53469448","CN1C=C(C2=C1N=CN=C2N)C3=CC4=C(C=C3)N(CC4)C(=O)CC5=CC(=CC=C5)C(F)(F)F","PERK Inhibitor I, CHEMBL2171124, GSK-2606414, GSK 2606414"
"153","GSK269962A","C29H30N8O5","570.61","ROCK","Doe C. (2007) J Pharmacol Exp Ther 320 89-98","","","","Axon","850664-21-0","InChI=1S/C29H30N8O5/c1-2-37-24-17-25(31-18-23(24)33-28(37)26-27(30)35-42-34-26)41-22-5-3-4-20(16-22)32-29(38)19-6-8-21(9-7-19)40-15-12-36-10-13-39-14-11-36/h3-9,16-18H,2,10-15H2,1H3,(H2,30,35)(H,32,38)","YOVNFNXUCOWYSG-UHFFFAOYSA-N","16095342","CCN1C2=CC(=NC=C2N=C1C3=NON=C3N)OC4=CC=CC(=C4)NC(=O)C5=CC=C(C=C5)","GSK-B, gskb, gsk b, GSK 269962A, GSK-269962A"
"152","GSK429286","C21H16F4N4O2","432.37","ROCK","Goodman K. (2007) J. Med. Chem. 50 (1), 6-9","Nichols (2009) Biochem.J. 424 47","19740074","","Tocris","864082-47-3","InChI=1S/C21H16F4N4O2/c1-10-19(20(31)28-17-6-12-9-26-29-16(12)8-15(17)22)14(7-18(30)27-10)11-2-4-13(5-3-11)21(23,24)25/h2-6,8-9,14H,7H2,1H3,(H,26,29)(H,27,30)(H,28,31)","OLIIUAHHAZEXEX-UHFFFAOYSA-N","11373846","CC1=C(C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F","GSK-A, gska, GSK-19740074, GSK 19740074"
"250","GSK461364","C27H28F3N5O2S","543.6","PLK1","T. R. Rheault (2010) Bioorg. Med. Chem. Lett. 20(15) 4587-92","K. A. Emmitte (2009) Bioorg. Med. Chem. Lett. 19(6) 1694-7","","","Axon","929095-18-1","InChI=1S/C27H28F3N5O2S/c1-17(19-5-3-4-6-20(19)27(28,29)30)37-23-14-24(38-25(23)26(31)36)35-16-32-21-8-7-18(13-22(21)35)15-34-11-9-33(2)10-12-34/h3-8,13-14,16-17H,9-12,15H2,1-2H3,(H2,31,36)/t17-/m1/s1","ZHJGWYRLJUCMRT-QGZVFWFLSA-N","15983966","CC(C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=C(C=C4)CN5CCN(CC5)C)C(=O)N","GSK461364X, GSK 461364, GSK-461364"
"146","GSK650394A","C25H22N2O2","382.45","SGK","Sherk A. B. (2008) Cancer Res 68 7475–7483","","","","Tocris","890842-28-1","InChI=1S/C25H22N2O2/c28-25(29)20-11-10-18(12-21(20)17-8-4-5-9-17)23-15-27-24-22(23)13-19(14-26-24)16-6-2-1-3-7-16/h1-3,6-7,10-15,17H,4-5,8-9H2,(H,26,27)(H,28,29)","WVSBGSNVCDAMCF-UHFFFAOYSA-N","25022668","C1CCC(C1)C2=C(C=CC(=C2)C3=CNC4=NC=C(C=C34)C5=CC=CC=C5)C(=O)O","SHN-954, GSK 650394A, GSK-650394A"
"207","GW441756 hydrochloride","C17H13N3O • HCl","311.77","Trk A","Wood E.R. (2004) Bioorg. Med. Chem. Lett. 14 953-957","","","","Sigma","504433-24-3","InChI=1S/C17H13N3O.ClH/c1-20-10-11(12-5-2-3-7-15(12)20)9-13-16-14(19-17(13)21)6-4-8-18-16;/h2-10H,1H3,(H,19,21);1H","GXUJPQDCLCDKLU-UHFFFAOYSA-N","16219400","CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O.Cl","GW 441756, GW-441756"
"137","GW501516","C21H18F3NO3S2 ","453.5","PPARd","Sznaidman M.L. (2003) Bioorg Med Chem Lett 13(9) 1517-21","","","","Enzo (Alexis)","317318-70-0","InChI=1S/C21H18F3NO3S2/c1-12-9-16(7-8-17(12)28-10-19(26)27)29-11-18-13(2)25-20(30-18)14-3-5-15(6-4-14)21(22,23)24/h3-9H,10-11H2,1-2H3,(H,26,27)","YDBLKRPLXZNVNB-UHFFFAOYSA-N","9803963","CC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)C)OCC(=O)O","GW-501516, GW 501516, Endurobol"
"52","GW5074 (Raf1 Kinase Inhibitor I)","C15H8Br2INO2","520.9","cRAF1","Lackey K.  (2000) Bioorg. Med. Chem. Lett. 10 223","","","WO2010036813","Merck (Calbiochem)","220904-83-6","InChI=1S/C15H8Br2INO2/c16-11-4-7(5-12(17)14(11)20)3-10-9-6-8(18)1-2-13(9)19-15(10)21/h1-6,20H,(H,19,21)/b10-3-","LMXYVLFTZRPNRV-KMKOMSMNSA-N","5924208","C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(=O)N2","GW-5074, GW 5074, Raf1 Kinase Inhibitor I, STO521, Lopac-G-6416"
"217","GW843682X (GSK-PLK1 Compound 2)","C22H18F3N3O4S","477.46","PLK1","Emmitte K.A. (2009) Bioorganic and Medicinal Chemistry Letters 19 1018-1021","","","","Tocris","660868-91-7","InChI=1S/C22H18F3N3O4S/c1-30-16-7-14-15(8-17(16)31-2)28(11-27-14)19-9-18(20(33-19)21(26)29)32-10-12-5-3-4-6-13(12)22(23,24)25/h3-9,11H,10H2,1-2H3,(H2,26,29)","JSKUWFIZUALZLX-UHFFFAOYSA-N","9826308","COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4C(F)(F)F)OC","SHN-1443"
"53","H-1152 (Rho Kinase Inhibitor)","C16H21N3O2S • 2HCl","392.3","ROCK","Ikenoya M.  (2002) J. Neurochem. 81 9","Sasaki Y. (2002) Pharmacol. Ther. 93 225","12191614","WO2010010702","Merck (Calbiochem)","451462-58-1","InChI=1S/C16H21N3O2S.2ClH/c1-12-9-18-11-14-5-3-6-15(16(12)14)22(20,21)19-8-4-7-17-10-13(19)2;;/h3,5-6,9,11,13,17H,4,7-8,10H2,1-2H3;2*1H/t13-;;/m1../s1","BFOPDSJOLUQULZ-FFXKMJQXSA-N","16760633","CC1CNCCCN1S(=O)(=O)C2=CC=CC3=CN=CC(=C32)C.Cl.Cl","Rho Kinase Inhibitor, H1152       , H 1152       , CTK8G2952, AG-L-66723"
